EVTNAME97700;Patriots;Les Patriotes;Die Patrioten;;Los Patriotas;;;;;;;;;x
EVTOPT97700;The patriots of our nation recovered the territories we had previously lost.;Les patriotes de notre nation ont récupéré les territoires que nous avions perdus précédemment.;Die Patrioten unserer Nation haben die Gebiete zurückerobert, die wir zuvor verloren hatten.;;Los patriotas de nuestra nación nos recuperaron los territorios que anteriormente perdimos.;;;;;;;;x
EVTOPTA97700;The people must unite;Le peuple doit s'unir;Das Volk muss sich vereinen;;El pueblo debe unirse;;;;;;;;;x
EVTOPTB97700;Kill them;Tuez-les;Töte sie;;Matenlos;;;;;;;;;x
EVTNAME800025;Vassal;Vassal;Vassal;Vasallo;;;;;;;;;;x
EVTDESC800025;You are now a vassal;Vous êtes maintenant un vassal;Sie sind jetzt ein Vasall;Ahora eres un vasallo;;;;;;;x
EVTOPTA800025;Oh;Oh;Oh;Oh;Oh;;;;;;;x
EVTNAME800026;Vassal;Vassal;Vassal;Vasallo;;;;;;;;;;x
EVTDESC800026;You aren't now a vassal;Vous n'êtes pas maintenant un vassal;Sie sind jetzt kein Vasall;Ahora no eres un vasallo;;;;;;;x
EVTOPTA800026;Oh;Oh;Oh;Oh;Oh;;;;;;;x
EVTNAME19370;Take Puppet;Prendre Marionnette;Puppe nehmen;;Tomar Títere;;;;;;;;x
EVTDESC19370;We lost our overlord by another one, nothing changed.;Nous avons perdu notre suzerain pour un autre, rien n'a changé.;Wir haben unseren Oberherren an einen anderen verloren, nichts hat sich geändert.;;Hemos perdido a nuestro señor por otro, nada ha cambiado.;;;;;;;;x
EVTOPTA19370;Yes..;Oui..;Ja..;;Sí!;;;;;;;;x
EVTNAME4721;A New Pretender;Un nouveau prétendant;Ein neuer Thronprätendent;;Un nuevo pretendiente;;;;;;;;;x
EVTDESC4721;Recently, there have been rebellions regarding the selection of a new king. We don't know who he is or his intentions, but we know he comes from the ancient Timurid dynasty. For some reason, many are in favor of him ruling the country.;Récemment, il y a eu des rébellions concernant la sélection d'un nouveau roi. Nous ne savons pas qui il est ni ses intentions, mais nous savons qu'il vient de l'ancienne dynastie des Timourides. Pour une raison quelconque, beaucoup sont en sa faveur pour diriger le pays.;In letzter Zeit gab es Rebellionen in Bezug auf die Auswahl eines neuen Königs. Wir wissen nicht, wer er ist oder was seine Absichten sind, aber wir wissen, dass er aus der alten Timuriden-Dynastie stammt. Aus irgendeinem Grund sind viele dafür, dass er das Land regiert.;;Recientemente, ha habido rebeliones con respecto a la selección de un nuevo rey. No sabemos quién es ni sus intenciones, pero sabemos que proviene de la antigua dinastía timúrida. Por alguna razón, muchos están a favor de que gobierne el país.;;;;;;;;;x
