allow_mp_options_title;Enable MP Features;Options multijoueur;Mehrspieleroptionen;;Permitir Características MP;;;;;;;;x
allow_mp_options_desc;Enable additional options for multiplayer games.;Active des options supplémentaires pour les jeux multijoueurs.;Aktiviert zusätzliche Optionen für Mehrspieler-Spiele.;;Habilita características para mp.;;;;;;;;;x
disallow_mp_options_title;Disable MP Features;Empêcher les options multijoueur;Multiplayer-Optionen deaktivieren;;Desactivar Características MP;;;;;;;;x
disallow_mp_options_desc;Disables additional features for mp.;Désactive les options supplémentaires pour les jeux multijoueurs.;Deaktiviert zusätzliche Optionen für Mehrspieler-Spiele.;;Desactiva características para mps.;;;;;;;;;x
givegrants_title;Get Grants!;Get Grants!;Get Grants!;;Consigue dinero!;;;;;;;;;x
givegrants_desc;Get Grants by other players!;Get Grants by other players!;Get Grants by other players!;;Consigue dinero de otros jugadores!;;;;;;;;;x
spain_title;To form Spain with the Crown of Aragon;;;;;;;;;;;;;
spain_desc;The Catholic crowns must be united;;;;;;;;;;;;;
spain_2_title;To form Spain with the Crown of Portugal;;;;;;;;;;;;;
spain_2_desc;The Catholic crowns must be united;;;;;;;;;;;;;
spa_nap_2_title;To integrate the southern Italians into the empire;;;;;;;;;;;;;
spa_nap_2_desc;They have to enter our empire;;;;;;;;;;;;;
spa_nap_title;Consider the Crown of Naples as part of the empire;;;;;;;;;;;;;
spa_nap_desc;They have to enter our empire;;;;;;;;;;;;;
aragon_italy_title;Form Aragon Italy;;;;;;;;;;;;;
aragon_italy_desc;We will unite the Crown of Aragon and the new Italian Crown into a single nation.;;;;;;;;;;;;;
tur_byz_title;The new Muslim Rome;;;;;;;;;;;;;
tur_byz_desc;We are the successors of the Romans;;;;;;;;;;;;;
tur_egy_title;Integrate the Mamluk Sultanate;;;;;;;;;;;;;
tur_egy_desc;Egypt must be Turkish;;;;;;;;;;;;;
Hun_BOS_title;Conquer Bosnia;;;;;;;;;;;;;
Hun_BOS_desc;Conquer Bosnia;;;;;;;;;;;;;
Hun_costa_title;Take the coast of Hungary;;;;;;;;;;;;;
Hun_costa_desc;Take the coast of Hungary;;;;;;;;;;;;;
Hun_bulgaria_title;Take Bulgaria;;;;;;;;;;;;;
Hun_bulgaria_desc;Take Bulgaria;;;;;;;;;;;;;
Hun_romania_title;Take Romania;;;;;;;;;;;;;
Hun_romania_desc;Take Romania;;;;;;;;;;;;;
Hun_pol_title;Form the Jagiellonian state;;;;;;;;;;;;;
Hun_pol_desc;We must unite the Polish and Hungarian people in a popular idea, the Jagiellonian idea;;;;;;;;;;;;;
napoles_aragoes_title;Integrate Naples into the Crown of Aragon;;;;;;;;;;;;;
napoles_aragoes_desc;Integrate Naples into the Crown of Aragon;;;;;;;;;;;;;
prusia_title;Form Prussia;;;;;;;;;;;;;
prusia_desc;Form Prussia;;;;;;;;;;;;;
elbian_title;Form the Elbian Confederation;;;;;;;;;;;;;
elbian_desc;After the fall of the empire, we have to begin German unification. For now, we will unify the German centers.;;;;;;;;;;;;;
BASURA_QUE_EXPLOTA_FROM_title;To form the Holy Roman Empire;;;;;;;;;;;;;
BASURA_QUE_EXPLOTA_FROM_desc;After so much time in empire, we need to strengthen the empire and abandon imperial feudalism.;;;;;;;;;;;;;
rusia_title;Form Russia;;;;;;;;;;;;;
rusia_desc;Uniting the Russian Slavs into one nation;;;;;;;;;;;;;
Wesfalia_title;Form Westphalia;;;;;;;;;;;;;
Wesfalia_desc;Form Westphalia;;;;;;;;;;;;;
fra_bre_title;Integrate Brittany;;;;;;;;;;;;;
fra_bre_desc;The Bretons are French;;;;;;;;;;;;;
UK_title;Unite the British Isles;;;;;;;;;;;;;
UK_desc;Glory to England;;;;;;;;;;;;;
angevino_title;To form the Angevin Kingdom;;;;;;;;;;;;;
angevino_desc;Finally they accepted our heir and we will unite the two kingdoms into one, whether they like it or not.;;;;;;;;;;;;;
fra_bor_title;To take the territory of Burgundy;;;;;;;;;;;;;
fra_bor_desc;It is a French territory;;;;;;;;;;;;;
fra_pic_title;Take Picardia;;;;;;;;;;;;;
fra_pic_desc;It is a French territory;;;;;;;;;;;;;
